ptime,time,windspeed,power
21/12/2019,21/12/2019 01:00,7.29,0.14
21/12/2019,21/12/2019 02:00,7.07,0.17
21/12/2019,21/12/2019 03:00,7.27,0.20
21/12/2019,21/12/2019 04:00,7.46,0.15
21/12/2019,21/12/2019 05:00,6.89,0.26
21/12/2019,21/12/2019 06:00,6.15,0.05
21/12/2019,21/12/2019 07:00,4.91,0.00
21/12/2019,21/12/2019 08:00,4.74,0.00
21/12/2019,21/12/2019 09:00,6.35,0.10
21/12/2019,21/12/2019 10:00,7.22,0.19
21/12/2019,21/12/2019 11:00,7.22,0.21
21/12/2019,21/12/2019 12:00,7.57,0.18
21/12/2019,21/12/2019 13:00,7.37,0.21
21/12/2019,21/12/2019 14:00,7.73,0.21
21/12/2019,21/12/2019 15:00,7.78,0.22
21/12/2019,21/12/2019 16:00,7.01,0.11
21/12/2019,21/12/2019 17:00,6.85,0.10
21/12/2019,21/12/2019 18:00,6.36,0.24
21/12/2019,21/12/2019 19:00,7.20,0.32
21/12/2019,21/12/2019 20:00,7.84,0.13
21/12/2019,21/12/2019 21:00,8.17,0.49
21/12/2019,21/12/2019 22:00,7.67,0.03
21/12/2019,21/12/2019 23:00,8.06,0.48
21/12/2019,22/12/2019 00:00,9.49,0.30
22/12/2019,22/12/2019 01:00,10.24,0.43
22/12/2019,22/12/2019 02:00,9.50,0.41
22/12/2019,22/12/2019 03:00,8.53,0.30
22/12/2019,22/12/2019 04:00,7.68,0.22
22/12/2019,22/12/2019 05:00,6.49,0.23
22/12/2019,22/12/2019 06:00,6.93,0.16
22/12/2019,22/12/2019 07:00,7.30,0.30
22/12/2019,22/12/2019 08:00,7.06,0.27
22/12/2019,22/12/2019 09:00,7.82,0.15
22/12/2019,22/12/2019 10:00,7.45,0.14
22/12/2019,22/12/2019 11:00,7.09,0.19
22/12/2019,22/12/2019 12:00,6.30,0.18
22/12/2019,22/12/2019 13:00,6.05,0.23
22/12/2019,22/12/2019 14:00,6.28,0.06
22/12/2019,22/12/2019 15:00,6.58,0.18
22/12/2019,22/12/2019 16:00,5.84,0.01
22/12/2019,22/12/2019 17:00,5.71,0.07
22/12/2019,22/12/2019 18:00,8.64,0.47
22/12/2019,22/12/2019 19:00,10.01,0.35
22/12/2019,22/12/2019 20:00,11.03,0.51
22/12/2019,22/12/2019 21:00,11.09,0.48
22/12/2019,22/12/2019 22:00,10.90,0.71
22/12/2019,22/12/2019 23:00,9.51,0.39
22/12/2019,23/12/2019 00:00,8.47,0.51
23/12/2019,23/12/2019 01:00,8.04,0.22
23/12/2019,23/12/2019 02:00,8.16,0.22
23/12/2019,23/12/2019 03:00,8.26,0.28
23/12/2019,23/12/2019 04:00,8.48,0.29
23/12/2019,23/12/2019 05:00,7.01,0.19
23/12/2019,23/12/2019 06:00,6.59,0.11
23/12/2019,23/12/2019 07:00,4.83,0.14
23/12/2019,23/12/2019 08:00,6.00,0.13
23/12/2019,23/12/2019 09:00,7.71,0.30
23/12/2019,23/12/2019 10:00,7.60,0.10
23/12/2019,23/12/2019 11:00,9.11,0.27
23/12/2019,23/12/2019 12:00,8.03,0.39
23/12/2019,23/12/2019 13:00,6.48,0.05
23/12/2019,23/12/2019 14:00,5.39,0.03
23/12/2019,23/12/2019 15:00,6.17,0.00
23/12/2019,23/12/2019 16:00,7.31,0.43
23/12/2019,23/12/2019 17:00,8.57,0.50
23/12/2019,23/12/2019 18:00,7.85,0.16
23/12/2019,23/12/2019 19:00,9.04,0.52
23/12/2019,23/12/2019 20:00,6.98,0.15
23/12/2019,23/12/2019 21:00,8.66,0.23
23/12/2019,23/12/2019 22:00,8.21,0.18
23/12/2019,23/12/2019 23:00,7.75,0.07
23/12/2019,24/12/2019 00:00,7.78,0.20
24/12/2019,24/12/2019 01:00,6.96,0.12
