ptime,time,windspeed,power
01/11/2019,01/11/2019 01:00,7.47,0.32
01/11/2019,01/11/2019 02:00,7.62,0.22
01/11/2019,01/11/2019 03:00,8.35,0.27
01/11/2019,01/11/2019 04:00,8.13,0.12
01/11/2019,01/11/2019 05:00,7.73,0.25
01/11/2019,01/11/2019 06:00,7.40,0.24
01/11/2019,01/11/2019 07:00,7.31,0.15
01/11/2019,01/11/2019 08:00,6.78,0.22
01/11/2019,01/11/2019 09:00,6.84,0.10
01/11/2019,01/11/2019 10:00,6.72,0.17
01/11/2019,01/11/2019 11:00,6.48,0.07
01/11/2019,01/11/2019 12:00,6.57,0.19
01/11/2019,01/11/2019 13:00,6.79,0.23
01/11/2019,01/11/2019 14:00,6.53,0.05
01/11/2019,01/11/2019 15:00,5.55,0.05
01/11/2019,01/11/2019 16:00,5.81,0.22
01/11/2019,01/11/2019 17:00,6.16,0.06
01/11/2019,01/11/2019 18:00,7.10,0.30
01/11/2019,01/11/2019 19:00,7.44,0.00
01/11/2019,01/11/2019 20:00,7.37,0.45
01/11/2019,01/11/2019 21:00,6.80,0.12
01/11/2019,01/11/2019 22:00,6.10,0.13
01/11/2019,01/11/2019 23:00,5.96,0.02
01/11/2019,02/11/2019 00:00,6.43,0.18
02/11/2019,02/11/2019 01:00,6.78,0.19
02/11/2019,02/11/2019 02:00,7.41,0.24
02/11/2019,02/11/2019 03:00,7.41,0.23
02/11/2019,02/11/2019 04:00,7.87,0.32
02/11/2019,02/11/2019 05:00,9.45,0.37
02/11/2019,02/11/2019 06:00,8.99,0.35
02/11/2019,02/11/2019 07:00,8.48,0.28
02/11/2019,02/11/2019 08:00,8.65,0.38
02/11/2019,02/11/2019 09:00,7.99,0.26
02/11/2019,02/11/2019 10:00,8.64,0.32
02/11/2019,02/11/2019 11:00,9.03,0.45
02/11/2019,02/11/2019 12:00,9.66,0.45
02/11/2019,02/11/2019 13:00,9.58,0.25
02/11/2019,02/11/2019 14:00,8.95,0.33
02/11/2019,02/11/2019 15:00,10.06,0.51
02/11/2019,02/11/2019 16:00,10.55,0.50
02/11/2019,02/11/2019 17:00,8.38,0.26
02/11/2019,02/11/2019 18:00,6.82,0.15
02/11/2019,02/11/2019 19:00,10.02,0.40
02/11/2019,02/11/2019 20:00,8.84,0.14
02/11/2019,02/11/2019 21:00,9.30,0.45
02/11/2019,02/11/2019 22:00,7.64,0.16
02/11/2019,02/11/2019 23:00,7.67,0.02
02/11/2019,03/11/2019 00:00,8.70,0.29
03/11/2019,03/11/2019 01:00,8.65,0.34
03/11/2019,03/11/2019 02:00,8.27,0.34
03/11/2019,03/11/2019 03:00,7.27,0.30
03/11/2019,03/11/2019 04:00,7.10,0.14
03/11/2019,03/11/2019 05:00,8.80,0.33
03/11/2019,03/11/2019 06:00,8.73,0.31
03/11/2019,03/11/2019 07:00,7.94,0.16
03/11/2019,03/11/2019 08:00,7.24,0.24
03/11/2019,03/11/2019 09:00,7.21,0.08
03/11/2019,03/11/2019 10:00,6.35,0.10
03/11/2019,03/11/2019 11:00,6.50,0.25
03/11/2019,03/11/2019 12:00,6.65,0.12
03/11/2019,03/11/2019 13:00,6.21,0.07
03/11/2019,03/11/2019 14:00,7.05,0.18
